College Name,Code
"K. J.'s Educational Institut Trinity College of Engineering and Research, Pisoli, Haveli",6184
"K. K. Wagh Institute of Engineering Education and Research, Nashik",5121
"K.D.K. College of Engineering, Nagpur",4147
"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur",4193
"K.J.'s Educational Institute's K.J.College of Engineering & Management Research, Pisoli",6320
"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Engineering Education & Research, Nashik.",5390
"KJEI's Trinity Academy of Engineering, Yewalewadi, Pune",6634
"KSGBS's Bharat- Ratna Indira Gandhi College of Engineering, Kegaon, Solapur",6219
"Kai Amdar  Bramhadevdada Mane Shikshan & Samajik Prathistan' s Bramhadevdada Mane Institute of Technology , Solapur",6293
"Kalyani Charitable Trust , Late Gambhirrao Natuba Sapkal College of Engineering, Anjaneri, Trimbakeshwar Road , Nashik",5182
Karmayogi Institute of Technology,6326
"Kavi Kulguru Institute of Technology & Science, Ramtek",4104
"Keystone School of Engineering, Pune",6808
"Khandesh College Education Society's College Of Engineering And Management, Jalgaon",5106
"Kolhapur Institute of Technology's College of Engineering(Autonomous), Kolhapur",6267
"Konkan Gyanpeeth College of Engineering, Karjat",3198
"Koti Vidya Charitable Trust 's  Smt. Alamuri Ratnamala Institute of Engineering and Technology ,  Sapgaon, Tal. Shahapur",3219
"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni",4188
"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon",3221
"Laxminarayan Institute of Technology, Nagpur",4005
"Leela Education Society, G.V. Acharya Institute of Engineering and Technology, Shelu, Karjat",3224
"Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",3196
"Lokmanya Tilak Jankalyan Shikshan Sanstha, Priyadarshani College of Engineering, Nagpur",4123
"Lokmanya Tilak Jankalyan Shikshan Sastha, Priyadarshini J. L. College Of Engineering, Nagpur",4136
"Loknete Hanumantrao Charitable Trust's Adarsh Institute of Technology and Research Centre, Vita,Sangli",6304
"M.D. Yergude Memorial Shikshan Prasarak Mandal's Shri Sai College of Engineering & Technology, Badravati",4190
"M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",3175
"M.S. Bidve Engineering College, Latur",2129
"MAEER's MIT College of Railway Engineering and Research, Jamgaon, Barshi",6901
"MET Bhujbal Knowledge City MET League's Engineering College, Adgaon, Nashik.",5151
"MET's Institute of Technology Polytechnic, Bhujbal Knowledge City, Adgaon Nashik",5244
"MIT Academy of Engineering,Alandi, Pune",6146
"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",6276
"Mahatma Basaweshwar Education Society's College of Engineering, Ambejogai",2133
"Mahatma Education Society's Pillai College of Engineering, New Panvel",3207
"Mahatma Education Society's Pillai HOC College of Engineering & Technology, Tal. Khalapur. Dist. Raigad",3223
"Mahatma Gandhi Missions College of Engineering, Hingoli Rd, Nanded.",2127
"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai",3148
"Maitraya Education Society, Nagarjuna Institute of Engineering Technology & Management, Nagpur",4192
"Manav School of Engineering & Technology , Gut No. 1035 Nagpur Surat Highway, NH No. 6 Tal.Vyala , Balapur, Akola,",1276
"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",3135
"Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare College Of Engineering, Nashik",5108
"Marathwada Mitra Mandal's College of Engineering, Karvenagar, Pune",6156
"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune",6203
"Marathwada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies, Parbhani",2252
"Matoshri College of Engineering and Research Centre, Eklahare, Nashik",5177
"Matoshri Pratishan's Group of Institutions (Integrated Campus), Kupsarwadi , Nanded",2116
"Matsyodari Shikshan Sansatha's College of Engineering and Technology, Jalna",2138
"Maulana Mukhtar Ahmad Nadvi Technical Campus, Malegaon.",5411
"Mauli Group of Institutions, College of Engineering and Technology, Shegaon.",1265
"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg.",3440
"Modern Education Society's College of Engineering, Pune",6281
"N. B. Navale Sinhgad College of Engineering, Kegaon, solapur",6640
"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",3187
"NBN Sinhgad Technical Institutes Campus, Pune",6772
"Nagaon  Education Society's Gangamai College of Engineering, Nagaon, Tal Dist Dhule",5169
"Nagnathappa Halge Engineering  College, Parli, Beed",2137
"Nanasaheb Mahadik College of Engineering,Walwa, Sangli.",6762
Navsahyadri Education Society's Group of Institutions,6632
"New Horizon Institute of Technology & Management, Thane",3471
"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune",6419
"Nutan Maharashtra Vidya Prasarak Mandal , Nutan Maharashtra Institute of Engineering & Technology , Talegaon station , Pune",6310
"P. R. Pote (Patil) Education & Welfare Trust's Group of Institution(Integrated Campus), Amravati",1107
"P.K. Technical Campus, Pune.",6768
"P.S.G.V.P. Mandal's D.N. Patel College of Engineering, Shahada, Dist. Nandurbar",5164
"PUNE VIDYARTHI GRIHAâS COLLEGE OF ENGINEERING & SHRIKRUSHNA S . DHAMANKAR INSTITUTE OF MANAGEMENT, NASHIK",6274
"Padmashri Dr. V.B.  Kolte College of Engineering, Malkapur, Buldhana",1182
"Paramhansa Ramkrishna Maunibaba Shikshan Santha's , Anuradha Engineering College, Chikhali",1119
"Peoples Education Society's College of Engineering, Aurangabad",2134
Phaltan Education Society's College of Engineering Thakurki Tal- Phaltan Dist-Satara,6766
"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",6822
"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",6175
"Pradnya Niketan Education Society's Nagesh Karajagi Orchid College of Engineering & Technology, Solapur",6223
"Pravara Rural College of Engineering, Loni, Pravaranagar, Ahmednagar.",5139
"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik",5125
"Priyadarshini Bhagwati  College of Engineering, Harpur Nagar, Umred Road,Nagpur",4177
"Prof Ram Meghe College of Engineering  and Management, Badnera",1128
"Prof. Ram Meghe Institute of Technology & Research, Amravati",1105
"Progressive Education Society's Modern College of Engineering, Pune",6139
"Pune District Education  Association's College of Engineering, Pune",6206
"Pune Institute of Computer Technology, Dhankavdi, Pune",6271
"Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of  Management,  Pune",6274
"R. C. Patel Institute of Technology, Shirpur",5172
"R.V. Parankar College of Engineering & Technology, Arvi, Dist Wardha",4648
Rajendra Mane College of Engineering & Technology  Ambav Deorukh,3202
"Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor",6324
Rajiv Gandhi College of Engineering Research & Technology  Chandrapur,4163
"Rajiv Gandhi College of Engineering, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar",5409
"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune.",6769
"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Engineering, Satara",6270
"Rizvi Education Society's Rizvi College of Engineering, Bandra,Mumbai",3201
"S K N Sinhgad College of Engineering, Korti Tal. Pandharpur Dist Solapur",6643
"S.D.N.C.R.E.S'S.Late Narayandas Bhawandas Chhabada Institute of Engineering & Technology, Satara",6305
"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",3211
"S.S.P.M.'s College of Engineering, Kankavli",3206
"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune.",6770
"SNJB's Late Sau. Kantabai Bhavarlalji Jain College of Engineering,  (Jain Gurukul), Neminagar,Chandwad,(Nashik)",5173
"ST. Vincent Pallotti College of Engineering & Technology, Nagpur",4174
"STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",2522
